id,title,type,department,severity,status,affected_people,estimated_cost,complexity,department_load,created_at,description,latitude,longitude,location_name
C-1001,Pavement Failure Margalla Trail 5,pothole,Roads,medium,escalated,1163,1200,medium,12,2024-11-19T21:00Z,Large depression reported on fast lane approaching Margalla Trail 5 exit.,33.7389,73.0625,Margalla Trail 5
C-1002,Gas Leak Alert 7th Avenue,gas_leak,Public Works,critical,in_progress,982,7600,high,19,2024-11-09T00:00Z,Residents report strong gas odor across 7th Avenue with dizziness complaints.,33.7012,73.0642,7th Avenue
C-1003,Sanitation Backlog Jinnah Avenue,littering,Environment,low,escalated,447,3300,low,22,2024-12-05T15:00Z,Garbage piles reported blocking access near Jinnah Avenue market.,33.7294,73.0931,Jinnah Avenue
C-1004,Wall Collapse Risk F-10 Markaz,building_collapse,Building Safety,critical,pending,2184,115300,high,11,2024-11-13T05:00Z,Residents evacuated due to settlement observed in F-10 Markaz apartments.,33.6973,73.0515,F-10 Markaz
C-1005,Sound Level Breach Melody Market,noise_complaint,Environment,medium,scheduled,300,1700,high,13,2024-12-16T08:00Z,Continuous construction noise during nighttime at Melody Market.,33.7102,73.0591,Melody Market
C-1006,Water Quality Alert 9th Avenue,water_contamination,Water Supply,critical,in_progress,1432,12200,high,10,2024-11-25T21:00Z,Residents complained of discoloration in taps around 9th Avenue.,33.6817,73.0482,9th Avenue
C-1007,Stormwater Backup Aabpara,flooding,Roads,critical,in_progress,1625,14000,high,4,2024-12-22T12:00Z,Flash flooding diverted traffic away from Aabpara.,33.7204,73.0736,Aabpara
C-1008,Stormwater Backup I-9 Markaz,flooding,Roads,medium,in_progress,1429,10900,high,11,2024-11-19T19:00Z,Flash flooding diverted traffic away from I-9 Markaz.,33.6632,73.0617,I-9 Markaz
C-1009,Unsafe Building Report 9th Avenue,building_collapse,Building Safety,critical,resolved,1035,46700,high,16,2024-11-14T16:00Z,Engineers observed widening cracks at 9th Avenue commercial block.,33.6817,73.0482,9th Avenue
C-1010,Unsafe Building Report Blue Area,building_collapse,Building Safety,critical,in_progress,2115,69100,medium,19,2024-12-02T04:00Z,Residents evacuated due to settlement observed in Blue Area apartments.,33.7173,73.0648,Blue Area
C-1011,Structural Instability E-11,building_collapse,Building Safety,high,pending,944,70800,high,21,2024-11-14T01:00Z,Engineers observed widening cracks at E-11 commercial block.,33.6574,73.0988,E-11
C-1012,Urban Flooding Rawal Lake Road,flooding,Roads,critical,in_progress,1897,23700,high,10,2024-12-03T01:00Z,Storm drains clogged causing roadway flooding around Rawal Lake Road.,33.7380,73.1302,Rawal Lake Road
C-1013,Waste Overflow Kashmir Highway,littering,Environment,medium,in_progress,373,2000,low,19,2024-11-09T06:00Z,Nighttime dumping observed along service road near Kashmir Highway.,33.6495,73.0744,Kashmir Highway
C-1014,Pipeline Contamination PIMS Hospital,water_contamination,Water Supply,high,in_progress,1775,22000,low,15,2024-12-09T06:00Z,"Lab tests from PIMS Hospital reported turbidity and odor, emergency flushing scheduled.",33.6999,73.0833,PIMS Hospital
C-1015,Fire Safety Breach PWD,fire_hazard,Fire Department,critical,scheduled,1272,25000,high,18,2024-12-17T10:00Z,Fire alarm loop fault affecting shops around PWD.,33.7089,73.0702,PWD
C-1016,Transformer Emergency Golra Railway Station,electrical_hazard,Public Works,high,escalated,865,8800,high,21,2024-11-30T04:00Z,Live wire hanging close to pedestrian flow at Golra Railway Station.,33.6215,73.0718,Golra Railway Station
C-1017,Live Wire Incident G-9 Markaz,electrical_hazard,Public Works,high,in_progress,533,8600,medium,13,2024-11-28T21:00Z,Substation overload detected near G-9 Markaz; possible fire risk.,33.6844,73.0547,G-9 Markaz
C-1018,Asset Defacement Saddar,graffiti,Parks,high,pending,156,2000,high,8,2024-12-09T19:00Z,Transit shelter panels near Saddar sprayed with paint.,33.7310,73.0735,Saddar
C-1019,Road Surface Damage Community Center F-6,pothole,Roads,medium,in_progress,796,6500,medium,25,2024-11-27T23:00Z,Large depression reported on fast lane approaching Community Center F-6 exit.,33.7201,73.0615,Community Center F-6
C-1020,Asset Defacement Kashmir Highway,graffiti,Parks,low,in_progress,43,1000,low,18,2024-11-21T06:00Z,Fresh graffiti on public art installations around Kashmir Highway plaza.,33.6495,73.0744,Kashmir Highway
C-1021,Sound Level Breach E-11,noise_complaint,Environment,medium,in_progress,187,600,medium,11,2024-12-22T10:00Z,Continuous construction noise during nighttime at E-11.,33.6574,73.0988,E-11
C-1022,Sanitation Backlog G-7 Markaz,littering,Environment,medium,pending,46,2300,medium,24,2024-11-15T09:00Z,Garbage piles reported blocking access near G-7 Markaz market.,33.7141,73.0665,G-7 Markaz
C-1023,After-hours Noise F-10,noise_complaint,Environment,low,in_progress,337,1400,low,13,2024-12-02T12:00Z,Amplified music from commercial strip near F-10 exceeding limits.,33.6951,73.0498,F-10
C-1024,Dark Corridor Report G-6 Hospital,lighting,Public Works,medium,escalated,316,3000,high,13,2024-12-13T05:00Z,Secondary feeder trips nightly leaving G-6 Hospital dark.,33.7118,73.0867,G-6 Hospital
C-1025,Asset Defacement Rawal Lake Road,graffiti,Parks,medium,pending,89,900,medium,15,2024-11-20T12:00Z,Transit shelter panels near Rawal Lake Road sprayed with paint.,33.7380,73.1302,Rawal Lake Road
C-1026,Dark Corridor Report Shakarparian Park,lighting,Public Works,critical,resolved,235,3500,medium,9,2024-11-27T15:00Z,Entire lighting circuit down along lanes near Shakarparian Park.,33.6943,73.0976,Shakarparian Park
C-1027,Gas Leak Alert G-7 Markaz,gas_leak,Public Works,critical,pending,443,10400,high,16,2024-12-16T06:00Z,Emergency call about suspected underground gas leak impacting G-7 Markaz.,33.7141,73.0665,G-7 Markaz
C-1028,Pipeline Leak Near Shakarparian Park,gas_leak,Public Works,critical,resolved,1405,14400,medium,14,2024-12-14T08:00Z,Residents report strong gas odor across Shakarparian Park with dizziness complaints.,33.6943,73.0976,Shakarparian Park
C-1029,Unsafe Building Report Saddar,building_collapse,Building Safety,low,pending,428,53100,medium,17,2024-11-25T18:00Z,"School boundary wall at Saddar leaning after rains, needs shoring.",33.7310,73.0735,Saddar
C-1030,Pipeline Contamination F-8 Markaz,water_contamination,Water Supply,critical,resolved,577,21800,high,21,2024-12-04T04:00Z,Residents complained of discoloration in taps around F-8 Markaz.,33.7069,73.0642,F-8 Markaz
C-1031,Underpass Flood I-11 Industrial,flooding,Roads,critical,in_progress,1013,18100,high,17,2024-12-12T10:00Z,Rainwater ponding knee-deep reported near I-11 Industrial underpass.,33.6488,73.0079,I-11 Industrial
C-1032,Stormwater Backup G-9 Markaz,flooding,Roads,medium,pending,1598,10500,high,18,2024-12-05T02:00Z,Flash flooding diverted traffic away from G-9 Markaz.,33.6844,73.0547,G-9 Markaz
C-1033,Boil Water Advisory PIMS Hospital,water_contamination,Water Supply,high,in_progress,1868,14200,high,18,2024-12-12T20:00Z,Field unit detected microbial contamination in supply line serving PIMS Hospital.,33.6999,73.0833,PIMS Hospital
C-1034,Deep Pothole F-6 Park,pothole,Roads,medium,scheduled,614,2200,low,10,2024-11-25T23:00Z,Sensors detected void under asphalt near F-6 Park; repair crew required.,33.7156,73.0644,F-6 Park
C-1035,Asset Defacement Saddar,graffiti,Parks,low,pending,21,1600,low,14,2024-12-04T12:00Z,Fresh graffiti on public art installations around Saddar plaza.,33.7310,73.0735,Saddar
C-1036,Fire Safety Breach E-11,fire_hazard,Fire Department,high,in_progress,903,23000,high,14,2024-12-12T07:00Z,Combustible stockpile noted in basement near E-11; sprinkler reach limited.,33.6574,73.0988,E-11
C-1037,Dark Corridor Report 9th Avenue,lighting,Public Works,low,scheduled,427,2100,low,20,2024-11-08T18:00Z,Entire lighting circuit down along lanes near 9th Avenue.,33.6817,73.0482,9th Avenue
C-1038,Pipeline Contamination G-6 Markaz,water_contamination,Water Supply,critical,resolved,564,10200,high,13,2024-12-17T12:00Z,"Lab tests from G-6 Markaz reported turbidity and odor, emergency flushing scheduled.",33.7075,73.0831,G-6 Markaz
C-1039,Graffiti Removal Needed E-11,graffiti,Parks,low,pending,45,1500,medium,6,2024-12-11T19:00Z,"Playground surfaces at E-11 tagged overnight, cleanup pending.",33.6574,73.0988,E-11
C-1040,Electrical Hazard F-10,electrical_hazard,Public Works,critical,scheduled,630,12300,high,12,2024-11-26T08:00Z,Live wire hanging close to pedestrian flow at F-10.,33.6951,73.0498,F-10
C-1041,Pipeline Contamination I-9 Markaz,water_contamination,Water Supply,high,resolved,1892,17300,medium,16,2024-12-08T18:00Z,"Lab tests from I-9 Markaz reported turbidity and odor, emergency flushing scheduled.",33.6632,73.0617,I-9 Markaz
C-1042,After-hours Noise I-10 Markaz,noise_complaint,Environment,high,scheduled,183,1600,low,16,2024-12-19T19:00Z,Amplified music from commercial strip near I-10 Markaz exceeding limits.,33.6591,73.0245,I-10 Markaz
C-1043,Wall Collapse Risk G-7 Markaz,building_collapse,Building Safety,medium,resolved,924,131500,medium,11,2024-12-09T01:00Z,Residents evacuated due to settlement observed in G-7 Markaz apartments.,33.7141,73.0665,G-7 Markaz
C-1044,Pipeline Contamination E-11,water_contamination,Water Supply,high,in_progress,1387,20500,medium,10,2024-11-27T16:00Z,Field unit detected microbial contamination in supply line serving E-11.,33.6574,73.0988,E-11
C-1045,Deep Pothole Diplomatic Enclave,pothole,Roads,high,in_progress,794,1300,medium,21,2024-12-10T05:00Z,Large depression reported on fast lane approaching Diplomatic Enclave exit.,33.7251,73.0890,Diplomatic Enclave
C-1046,Pipeline Contamination F-11 Markaz,water_contamination,Water Supply,high,resolved,950,22600,low,19,2024-11-14T23:00Z,Field unit detected microbial contamination in supply line serving F-11 Markaz.,33.6881,73.0293,F-11 Markaz
C-1047,Structural Instability F-10 Markaz,building_collapse,Building Safety,high,pending,216,50500,high,15,2024-12-13T04:00Z,Engineers observed widening cracks at F-10 Markaz commercial block.,33.6973,73.0515,F-10 Markaz
C-1048,Intersection Malfunction Faisal Avenue,broken_traffic_light,Traffic,low,in_progress,269,6800,low,8,2024-11-12T14:00Z,Signal timing drift causing queue spillback approaching Faisal Avenue.,33.7112,73.0581,Faisal Avenue
C-1049,Live Wire Incident F-8 Markaz,electrical_hazard,Public Works,critical,pending,286,10200,medium,13,2024-12-06T03:00Z,Substation overload detected near F-8 Markaz; possible fire risk.,33.7069,73.0642,F-8 Markaz
C-1050,Traffic Control Fault I-10 Markaz,broken_traffic_light,Traffic,high,in_progress,664,6600,medium,16,2024-12-01T22:00Z,Blinking amber detected at major intersection near I-10 Markaz.,33.6591,73.0245,I-10 Markaz
C-1051,Water Quality Alert Centaurus Mall,water_contamination,Water Supply,high,escalated,1526,7000,high,19,2024-11-14T00:00Z,Field unit detected microbial contamination in supply line serving Centaurus Mall.,33.7099,73.0563,Centaurus Mall
C-1052,Water Quality Alert Blue Area,water_contamination,Water Supply,critical,pending,1296,8900,high,24,2024-11-25T20:00Z,"Lab tests from Blue Area reported turbidity and odor, emergency flushing scheduled.",33.7173,73.0648,Blue Area
C-1053,Asset Defacement G-7 Markaz,graffiti,Parks,low,resolved,157,1100,low,13,2024-11-28T22:00Z,Fresh graffiti on public art installations around G-7 Markaz plaza.,33.7141,73.0665,G-7 Markaz
C-1054,Road Surface Damage Daman-e-Koh,pothole,Roads,medium,scheduled,782,8700,medium,11,2024-11-15T16:00Z,Frequent tire damage claims from commuters around Daman-e-Koh.,33.7542,73.0786,Daman-e-Koh
C-1055,Fire Safety Breach Murree Road,fire_hazard,Fire Department,medium,scheduled,1169,24900,medium,11,2024-11-22T17:00Z,"Fire suppression equipment offline at Murree Road, evacuation drills pending.",33.7325,73.0997,Murree Road
C-1056,Fire Hazard Inspection 9th Avenue,fire_hazard,Fire Department,medium,escalated,1080,24500,medium,21,2024-12-16T11:00Z,"Fire suppression equipment offline at 9th Avenue, evacuation drills pending.",33.6817,73.0482,9th Avenue
C-1057,Signal Failure G-9 Markaz,broken_traffic_light,Traffic,critical,pending,427,1800,high,19,2024-11-14T19:00Z,Blinking amber detected at major intersection near G-9 Markaz.,33.6844,73.0547,G-9 Markaz
C-1058,Wall Collapse Risk G-8 Markaz,building_collapse,Building Safety,critical,in_progress,917,109200,high,18,2024-11-21T16:00Z,Engineers observed widening cracks at G-8 Markaz commercial block.,33.6983,73.0722,G-8 Markaz
